Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
443,Interactive Media,Bachelors,61300.0,92100.0,39.0
445,Retail Merchandising,Bachelors,59000.0,91900.0,36.0
446,Diagnostic Medical Sonography,Bachelors,71700.0,91800.0,86.0
447,Agricultural Business,Bachelors,61400.0,91600.0,58.0
447,Network Administration,Bachelors,54400.0,91600.0,54.0
449,Environmental Biology,Bachelors,50500.0,91300.0,69.0
449,Dental Hygiene,Bachelors,81200.0,91300.0,81.0
451,Journalism & Electronic Media,Bachelors,51400.0,91200.0,46.0
451,Web & Digital Media Development,Bachelors,60400.0,91200.0,35.0
451,Workforce Education & Development,Bachelors,67100.0,91200.0,73.0
454,Diagnostic Medical Ultrasound,Bachelors,73800.0,91100.0,71.0
454,Health Policy & Administration,Bachelors,57300.0,91100.0,63.0
